Zip Code,City,Primary Zone,Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Total Housing Units,Single-Family Detached,% Single-Family Detached,Other Dwellings,% Other,Median Household Income
75069,McKinney,3,0.0,0.0,96.3,3.7,16657,9692,58.2,6965,41.8,74967.0
75181,Mesquite,3,0.0,0.0,88.0,12.0,8255,7574,91.8,681,8.2,107734.0
76227,Aubrey,3,0.0,0.0,84.4,15.6,18611,16028,86.1,2583,13.9,106113.0
76179,Unknown,3,0.0,0.0,82.4,17.6,25480,22698,89.1,2782,10.9,106288.0
75141,Unknown,3,0.0,0.0,81.3,18.7,1380,659,47.8,721,52.2,45213.0
75071,McKinney,3,0.0,0.0,78.2,21.8,22921,19652,85.7,3269,14.3,124763.0
75253,Unknown,3,0.0,0.0,77.2,22.8,7027,3259,46.4,3768,53.6,51642.0
75104,Cedar Hill,3,0.0,0.0,77.1,22.9,16831,13994,83.1,2837,16.9,84760.0
76116,Unknown,3,0.0,0.0,75.0,25.0,25187,9536,37.9,15651,62.1,50982.0
76259,Unknown,3,0.0,0.0,74.3,25.7,2190,1531,69.9,659,30.1,82041.0
76135,Unknown,3,0.0,0.0,67.6,32.4,8171,5905,72.3,2266,27.7,69525.0
76063,Mansfield,3,0.0,0.0,62.3,37.7,26984,20944,77.6,6040,22.4,110303.0
76071,Unknown,3,0.0,0.0,55.9,44.1,1611,1125,69.8,486,30.2,94318.0
75098,Wylie,3,0.0,0.0,49.6,50.4,21772,18180,83.5,3592,16.5,112198.0
75146,Unknown,3,0.0,0.0,47.3,52.7,9121,6455,70.8,2666,29.2,68001.0
76249,Unknown,3,0.0,0.0,44.8,55.2,3209,2543,79.2,666,20.8,103375.0
76134,Unknown,3,0.0,0.0,42.7,57.3,10542,7939,75.3,2603,24.7,65516.0
76078,Unknown,3,0.0,0.0,40.2,59.8,3398,2150,63.3,1248,36.7,89794.0
76140,Unknown,3,0.0,0.0,39.0,61.0,10822,8087,74.7,2735,25.3,70933.0
76266,Unknown,3,0.0,0.0,38.3,61.7,7062,5425,76.8,1637,23.2,93327.0
75454,Unknown,3,0.0,0.0,33.3,66.7,5639,5238,92.9,401,7.1,137903.0
75009,Unknown,3,0.0,0.0,32.6,67.4,8765,8090,92.3,675,7.7,153658.0
75032,Rockwall,3,0.0,0.0,26.8,73.2,12757,10765,84.4,1992,15.6,132756.0
76108,Unknown,3,0.0,0.0,26.1,73.9,17972,14133,78.6,3839,21.4,73183.0
75126,Unknown,3,0.0,0.0,22.5,77.5,22056,19692,89.3,2364,10.7,101456.0
76133,Unknown,3,0.0,0.0,19.4,80.6,20276,14408,71.1,5868,28.9,69506.0
75172,Unknown,3,0.0,0.0,17.8,82.2,1870,823,44.0,1047,56.0,63003.0
75154,Unknown,3,0.0,0.0,12.5,87.5,16225,13310,82.0,2915,18.0,95035.0
